gene_id,gene_name,gene_type,Significance,log2FoldChange,pvalue,padj,stat,lfcSE
ENSG00000119283.15,TRIM67,protein_coding,Upregulated (Dead),1.2768512130531315,7.388458369789901e-22,6.202610801438622e-18,9.608121489889303,0.13289290881643948
ENSG00000089250.19,NOS1,protein_coding,Upregulated (Dead),1.317790227005109,1.341763019151022e-14,1.7329385455035122e-11,7.701787105640492,0.17110187660731493
ENSG00000170835.16,CEL,protein_coding,Upregulated (Dead),1.0588459957984742,4.5544822424784926e-11,2.249110495623938e-08,6.584816276591978,0.16080114483414076
ENSG00000182759.4,MAFA,protein_coding,Upregulated (Dead),1.1514435599649355,3.1326813556032268e-09,1.0734228563383302e-06,5.924489966603689,0.1943531960482025
ENSG00000188505.5,NCCRP1,protein_coding,Upregulated (Dead),1.1984632221730773,1.257800980699035e-07,2.3357182134952255e-05,5.284890313758283,0.2267716359321761
ENSG00000130720.13,FIBCD1,protein_coding,Upregulated (Dead),1.0128725715127385,6.9611531068028e-07,9.202973280568427e-05,4.9624443051261675,0.20410759481299343
ENSG00000163631.17,ALB,protein_coding,Upregulated (Dead),1.1164737875817485,1.0672265596099766e-06,0.00012799095668465362,4.878819534459092,0.2288409685367734
ENSG00000171209.3,CSN3,protein_coding,Upregulated (Dead),2.2722882965340387,2.8783440974157328e-05,0.0017965575240003777,4.182883893679445,0.54323484808354
ENSG00000100604.13,CHGA,protein_coding,Downregulated (Dead),-3.6806369016007823,2.029980084978446e-29,3.408336562678811e-25,-11.26161754429011,0.3268302166296659
ENSG00000164411.12,GJB7,protein_coding,Downregulated (Dead),-2.2512501325747336,2.2378716196707144e-20,1.2524621498090432e-16,-9.250336433650089,0.24336954106721212
ENSG00000135346.9,CGA,protein_coding,Downregulated (Dead),-3.1058627814223967,3.957236556846089e-20,1.6610500447361458e-16,-9.18921361163853,0.33799005145431477
ENSG00000156959.9,LHFPL4,protein_coding,Downregulated (Dead),-2.2246285158130408,7.027231838858757e-20,2.3597444514887704e-16,-9.127233066465013,0.24373525904435372
ENSG00000174343.6,CHRNA9,protein_coding,Downregulated (Dead),-2.329362120621107,2.0178469726359046e-19,5.379301442464036e-16,-9.01229716439614,0.2584648595280961
ENSG00000204740.11,MALRD1,protein_coding,Downregulated (Dead),-2.1109390292076924,2.242710547781313e-19,5.379301442464036e-16,-9.000705864988795,0.23453038693541622
ENSG00000133636.11,NTS,protein_coding,Downregulated (Dead),-3.0653381410069547,2.8821738851794675e-18,6.048962441520407e-15,-8.715994468674648,0.35169115263023676
ENSG00000114638.8,UPK1B,protein_coding,Downregulated (Dead),-2.8232388752667283,6.15127740688914e-18,1.1475549740185408e-14,-8.629700608488704,0.32715374534426106
ENSG00000108602.18,ALDH3A1,protein_coding,Downregulated (Dead),-1.7544931301208866,1.4046427458699228e-16,2.3583951703156005e-13,-8.264344630483153,0.21229670452626256
