,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,E2F Targets,0.5749929732346678,2.5048227550048323,0.001,0.001,0.001,101/200,25.11%,GINS4;MRE11;MTHFD2;PAICS;RFC3;CDC25B;RAD21;BRMS1L;NUP205;MAD2L1;MCM4;DSCC1;PRPS1;CHEK1;RACGAP1;SRSF1;ZW10;CBX5;PPM1D;DUT;PLK1;MYC;RAD51AP1;NUDT21;DCTPP1;CKS2;BRCA1;ATAD2;HMMR;UBE2T;RAN;XPO1;DIAPH3;CENPE;CSE1L;PSIP1;BUB1B;GSPT1;RAD1;NOLC1;KIF4A;NCAPD2;ORC6;GINS1;KPNA2;EED;HUS1;CKS1B;ORC2;MSH2;SLBP;PRDX4;TP53;TFRC;RPA3;CDCA8;SYNCRIP;TRIP13;TACC3;ANP32E;TMPO;SMC1A;BRCA2;ASF1A;PCNA;RRM2;PTTG1;CDC25A;TIMELESS;MKI67;UNG;MCM6;SPC25;IPO7;CNOT9;HMGB3;CDK1;ESPL1;POLD2;PLK4;SMC3;PMS2;MYBL2;PRKDC;DCK;LBR;PDS5B;UBE2S;TOP2A;H2AX;TRA2B;H2AZ1;RPA2;PA2G4;KIF18B;DEPDC1;BARD1;AURKA;SPC24;PPP1R8;STAG1
1,prerank,Myc Targets V1,0.5400446625995577,2.3363636078468035,0.001,0.001,0.001,70/200,14.66%,PGK1;PTGES3;VDAC3;VDAC1;NCBP1;TCP1;RAD23B;EIF1AX;STARD7;SET;PSMD14;PSMD1;MAD2L1;TOMM70;EIF3J;PABPC1;HSPD1;ABCE1;EPRS1;EIF4G2;MCM4;CYC1;SRSF1;AIMP2;EIF4E;DUT;DDX21;MYC;IARS1;HPRT1;XPOT;ETF1;RAN;XPO1;VBP1;NCBP2;DHX15;CBX3;YWHAQ;PSMB2;GSPT1;NOLC1;HDAC2;CCT3;HSP90AB1;KPNA2;CDK2;AP3S1;CCT4;ORC2;POLE3;CANX;ILF2;PRDX4;PPIA;CCT2;PWP1;CCNA2;CSTF2;PSMA7;SYNCRIP;MRPL9;CCT5;SSB;PCNA;SRM;IFRD1;PSMD7;GLO1;NOP16
2,prerank,G2-M Checkpoint,0.5136965666932121,2.208385847300569,0.001,0.001,0.001,103/199,25.11%,KIF5B;RAD23B;CDC25B;RAD21;EFNA5;MAD2L1;UCK2;CDC27;RASAL2;KNL1;TENT4A;SMC2;CHEK1;RACGAP1;SRSF1;PLK1;MYC;CKS2;MAP3K20;HMMR;XPO1;SRSF10;CUL5;CENPE;ORC5;CUL3;CCNT1;GSPT1;NOLC1;BUB1;KIF20B;PBK;FANCC;KIF4A;ORC6;KPNA2;DR1;SQLE;SLC38A1;HUS1;CKS1B;KIF11;TNPO2;PAFAH1B1;KIF23;H2AZ2;CCNA2;HSPA8;SYNCRIP;FBXO5;TOP1;TACC3;TMPO;ODF2;SMC1A;BRCA2;PTTG1;CDC25A;MKI67;MCM6;ATRX;RBL1;AMD1;KPNB1;CCNF;HMGB3;CDK1;ESPL1;LIG3;CENPA;DBF4;PLK4;E2F2;SLC12A2;EXO1;G3BP1;KMT5A;HOXC10;POLQ;STIL;MYBL2;SLC7A1;RAD54L;LBR;PDS5B;UBE2S;CUL1;CENPF;TOP2A;NSD2;E2F3;H2AX;SMARCC1;TRA2B;H2AZ1;KATNA1;RPA2;KIF15;NEK2;BARD1;AURKA;PURA;STAG1
4,prerank,mTORC1 Signaling,0.4273046483071971,1.8385815321225614,0.001,0.0011139774859287054,0.001,61/200,16.01%,PGK1;MTHFD2;PSMD12;PNO1;PSMD14;HSPA9;STIP1;RAB1A;PPA1;NUP205;HSPD1;EPRS1;MCM4;PRDX1;P4HA1;PSMG1;IMMT;POLR3G;CACYBP;ELOVL6;PLK1;GCLC;TXNRD1;ACTR2;YKT6;UCHL5;UBE2D3;HPRT1;SRD5A1;ETF1;DHFR;G6PD;HSPA4;BUB1;SCD;SQLE;NAMPT;CANX;ATP2A2;NFIL3;SLC7A11;TFRC;PPIA;PSME3;ACTR3;HMGCS1;ENO1;PSMC2;TUBA4A;TCEA1;PFKL;RRM2;SHMT2;IFRD1;GMPS;CDC25A;UNG;UFM1;IDI1;GSK3B;DHCR7
5,prerank,Unfolded Protein Response,0.4574535252740364,1.8371135606824027,0.001,0.001,0.001,26/113,10.97%,KIF5B;MTHFD2;CNOT6;GOSR2;HSPA9;YWHAZ;SDAD1;ALDH18A1;EIF4EBP1;SLC30A5;EIF4E;TARS1;SRPRA;IARS1;SEC31A;XPOT;FKBP14;EXOSC4;NOLC1;PAIP1;CKS1B;CNOT4;NFYB;EIF2AK3;SRPRB;CHAC1
8,prerank,Protein Secretion,0.43550634245706965,1.7202740335797937,0.001,0.0059412132582864294,0.008,45/96,20.58%,OCRL;GOSR2;RAB5A;STAM;ZW10;RAB2A;ARCN1;LAMP2;YKT6;YIPF6;SEC31A;BNIP3;VAMP7;SGMS1;LMAN1;ATP6V1H;AP3S1;SOD1;STX7;RAB14;VPS4B;MAPK1;ARFGEF1;ANP32E;ARFIP1;KIF1B;ARF1;SCRN1;AP1G1;TMED2;RAB22A;IGF2R;RPS6KA3;TPD52;STX16;SCAMP1;DNM1L;VAMP4;ARFGEF2;VAMP3;STX12;RAB9A;USO1;GOLGA4;AP2M1
9,prerank,Oxidative Phosphorylation,0.39523352505798,1.6779276607309022,0.001,0.010821495577593139,0.017,53/200,16.74%,VDAC3;VDAC2;OPA1;VDAC1;CS;PDP1;ETFA;DLAT;HADHA;HSPA9;TOMM70;NDUFS1;OAT;ABCB7;LRPPRC;IDH2;CPT1A;CYC1;IMMT;ATP5F1B;NQO2;MRPL15;HADHB;DLD;MRPL35;ATP6V1H;ATP5PF;SUCLG1;ATP6V1C1;COX7B;ATP5MC3;GRPEL1;ATP5F1C;MTRR;HCCS;SUCLA2;ATP6V1E1;MPC1;IDH3A;SDHC;COX10;MTX2;DECR1;COX7A2L;SLC25A5;SDHD;AIFM1;CYCS;FH;TIMM17A;MDH2;GOT2;NDUFB3
10,prerank,Myc Targets V2,0.4648520117387914,1.6777697048525266,0.012578616352201259,0.009468808630393996,0.017,24/58,24.31%,MPHOSPH10;HSPD1;MCM4;SLC19A1;AIMP2;PLK1;MYC;DCTPP1;WDR43;CBX3;NOLC1;SRM;NOP16;UNG;PPRC1;DDX18;NDUFAF4;DUSP2;PLK4;TFB2M;HSPE1;NPM1;RRP9;PA2G4
17,prerank,Glycolysis,0.3475966221012034,1.4832479535893581,0.001,0.03317177402543256,0.066,81/194,25.70%,PGK1;PDK3;AGL;MXI1;B3GNT3;P4HA1;PRPS1;LCT;SDC1;IL13RA1;UGP2;EXT1;GCLC;GFPT1;RPE;DLD;NT5E;HMMR;KIF2A;TXN;HS6ST2;G6PD;ARTN;ADORA2B;ECD;ARPP19;SLC25A13;CHST1;SRD5A3;PMM2;EFNA3;SLC35A3;P4HA2;BPNT1;FBP2;SOD1;PPIA;ME2;ENO1;TGFA;SDHC;B4GALT2;RARS1;ZNF292;LHPP;PGAM1;SDC2;MDH2;ENO2;GOT2;CACNA1H;GALK2;NDUFV3;CDK1;SLC37A4;KIF20A;CENPA;PFKP;ANGPTL4;SOX9;AKR1A1;VLDLR;MIOX;PGM2;DPYSL4;AK4;CLN6;NOL3;NANP;PAM;PLOD1;COPB2;DEPDC1;HAX1;CHPF;AURKA;CHPF2;GALE;POLR3K;LDHA;HDLBP
22,prerank,Mitotic Spindle,0.2934229371028643,1.2737357623630556,0.001,0.1350140712945591,0.261,42/198,15.05%,RABGAP1;FSCN1;KIF5B;NET1;CDC27;LRPPRC;ABI1;RASAL2;WASL;ANLN;RACGAP1;DLG1;PLK1;RAPGEF5;CENPE;CKAP5;CD2AP;BUB1;KIF20B;KIF4A;CEP57;KIF11;SOS1;EZR;TLK1;PAFAH1B1;KIF23;ECT2;RAB3GAP1;TUBA4A;FBXO5;OPHN1;ARFGEF1;HOOK3;SMC1A;KIF1B;BRCA2;ALS2;ARHGEF7;CDC42BPA;TUBGCP5;SASS6
20,prerank,Inflammatory Response,-0.4053386160602905,-1.2889806212070318,0.04766839378238342,0.1865652877383243,0.956,62/198,20.48%,GP1BA;ROS1;CXCL6;EREG;CCL5;CXCL9;CXCR6;IL1A;SLC4A4;IRF1;CCL24;MEP1A;CXCL8;SLC31A2;SLC28A2;TIMP1;CD48;IL18RAP;IL18;NFKBIA;IRF7;TAPBP;SCN1B;P2RX4;CCL17;LAMP3;PTAFR;LTA;LCK;SEMA4D;IL7R;SLAMF1;LCP2;CXCL10;CD40;GPR132;BEST1;SLC7A2;CSF3;HPN;IL12B;MARCO;TNFRSF9;AQP9;BST2;CD70;IL2RB;BTG2;ADM;SELL;CCR7;CYBB;RTP4;TNFRSF1B;ICAM1;LIF;IL10RA;NPFFR2;EBI3;STAB1;CD69;CCL22
19,prerank,KRAS Signaling Up,-0.44352133849941583,-1.3999680036905071,0.012409513960703205,0.0693207658180546,0.654,45/193,13.33%,CA2;SEMA3B;USH1C;PIGR;APOD;HSD11B1;EREG;IL2RG;ANXA10;EPB41L3;PCP4;PTGS2;CD37;ITGB2;ADAMDEC1;SERPINA3;PSMB8;SPRY2;TPH1;MMP9;CCND2;SCN1B;CTSS;RBM4;BIRC3;SNAP91;MAP4K1;PDCD1LG2;TLR8;CFB;HDAC9;LAT2;ADAM8;IL7R;IRF8;LCP1;GABRA3;CXCL10;IKZF1;SNAP25;ARG1;DOCK2;TRAF1;RABGAP1L;LAPTM5
